{-100, 17.078942357334313}
{-299/3, 17.002877876693166}
{-298/3, 16.926994771693025}
{-99, 16.851292802290384}
{-296/3, 16.77577172635972}
{-295/3, 16.700431299685984}
{-98, 16.625271275956425}
{-293/3, 16.550291406753498}
{-292/3, 16.475491441547145}
{-97, 16.40087112768767}
{-290/3, 16.32643021039863}
{-289/3, 16.252168432769867}
{-96, 16.178085535750945}
{-287/3, 16.104181258144376}
{-286/3, 16.03045533659945}
{-95, 15.956907505605768}
{-284/3, 15.883537497487636}
{-283/3, 15.810345042397975}
{-94, 15.737329868312756}
{-281/3, 15.66449170102581}
{-280/3, 15.591830264143542}
{-93, 15.519345279079939}
{-278/3, 15.447036465051923}
{-277/3, 15.374903539074992}
{-92, 15.302946215958734}
{-275/3, 15.23116420830304}
{-274/3, 15.159557226494286}
{-91, 15.088124978701817}
{-272/3, 15.016867170874752}
{-271/3, 14.945783506739122}
{-90, 14.874873687795045}
{-269/3, 14.804137413314429}
{-268/3, 14.733574380338968}
{-89, 14.663184283678111}
{-266/3, 14.592966815907726}
{-265/3, 14.522921667368948}
{-88, 14.453048526167327}
{-263/3, 14.383347078172106}
{-262/3, 14.31381700701629}
{-87, 14.244457994096647}
{-260/3, 14.17526971857423}
{-259/3, 14.106251857375332}
{-86, 14.03740408519259}
{-257/3, 13.968726074486746}
{-256/3, 13.900217495488489}
{-85, 13.831878016201037}
{-254/3, 13.763707302402837}
{-253/3, 13.69570501765069}
{-84, 13.627870823283725}
{-251/3, 13.560204378427127}
{-250/3, 13.49270533999684}
{-83, 13.425373362704645}
{-248/3, 13.35820809906337}
{-247/3, 13.291209199393041}
{-82, 13.224376311827244}
{-245/3, 13.157709082319966}
{-244/3, 13.09120715465323}
{-81, 13.024870170444833}
{-242/3, 12.95869776915702}
{-241/3, 12.892689588105421}
{-80, 12.82684526246879}
{-239/3, 12.761164425299102}
{-238/3, 12.695646707532354}
{-79, 12.630291737999972}
{-236/3, 12.565099143440925}
{-235/3, 12.500068548514166}
{-78, 12.435199575812016}
{-233/3, 12.370491845874277}
{-232/3, 12.305944977202575}
{-77, 12.241558586275987}
{-230/3, 12.177332287566943}
{-229/3, 12.113265693558022}
{-76, 12.049358414759539}
{-227/3, 11.985610059727838}
{-226/3, 11.922020235084366}
{-75, 11.858588545535593}
{-224/3, 11.795314593893792}
{-223/3, 11.732197981098485}
{-74, 11.66923830623903}
{-221/3, 11.606435166577882}
{-220/3, 11.543788157574964}
{-73, 11.481296872912658}
{-218/3, 11.41896090452212}
{-217/3, 11.356779842610393}
{-72, 11.294753275688512}
{-215/3, 11.2328807906008}
{-214/3, 11.171161972554948}
{-71, 11.109596405153539}
{-212/3, 11.048183670426418}
{-211/3, 10.98692334886437}
{-70, 10.92581501945391}
{-209/3, 10.8648582597133}
{-208/3, 10.80405264572974}
{-69, 10.743397752198112}
{-206/3, 10.682893152460709}
{-205/3, 10.622538418548436}
{-68, 10.562333121223515}
{-203/3, 10.50227683002343}
{-202/3, 10.442369113306512}
{-67, 10.382609538298961}
{-200/3, 10.32299767114338}
{-199/3, 10.263533076948898}
{-66, 10.204215319843144}
{-197/3, 10.145043963025639}
{-196/3, 10.086018568823146}
{-65, 10.027138698746514}
{-194/3, 9.968403913549865}
{-193/3, 9.909813773291138}
{-64, 9.851367837395028}
{-191/3, 9.79306566471761}
{-190/3, 9.734906813613316}
{-63, 9.67689084200389}
{-188/3, 9.61901730744956}
{-187/3, 9.561285767222575}
{-62, 9.50369577838307}
{-185/3, 9.44624689785724}
{-184/3, 9.388938682518194}
{-61, 9.33177068926927}
{-182/3, 9.27474247513007}
{-181/3, 9.21785359732517}
{-60, 9.161103613375898}
{-179/3, 9.104492081194666}
{-178/3, 9.048018559182713}
{-59, 8.991682606330802}
{-176/3, 8.935483782323177}
{-175/3, 8.879421647644833}
{-58, 8.823495763692392}
{-173/3, 8.767705692888448}
{-172/3, 8.712050998799635}
{-57, 8.656531246258597}
{-170/3, 8.601146001489882}
{-169/3, 8.545894832239908}
{-56, 8.490777307911463}
{-167/3, 8.43579299970214}
{-166/3, 8.38094148074786}
{-55, 8.32622232627085}
{-164/3, 8.27163511373259}
{-163/3, 8.217179422991856}
{-54, 8.162854836468245}
{-161/3, 8.108660939310884}
{-160/3, 8.054597319573066}
{-53, 8.000663568392795}
{-158/3, 7.946859280179298}
{-157/3, 7.893184052806269}
{-52, 7.839637487811293}
{-155/3, 7.786219190602621}
{-154/3, 7.7329287706727445}
{-51, 7.67976584181971}
{-152/3, 7.626730022375998}
{-151/3, 7.573820935445558}
{-50, 7.521038209149143}
{-149/3, 7.4683814768785375}
{-148/3, 7.4158503775597255}
{-49, 7.363444555925648}
{-146/3, 7.3111636627987595}
{-145/3, 7.259007355383826}
{-48, 7.206975297571674}
{-143/3, 7.155067160253696}
{-142/3, 7.1032826216484874}
{-47, 7.05162136764032}
{-140/3, 7.000083092130324}
{-139/3, 6.948667497401101}
{-46, 6.8973742944949805}
{-137/3, 6.846203203606765}
{-136/3, 6.795153954491587}
{-45, 6.7442262868885}
{-134/3, 6.693419950960515}
{-133/3, 6.642734707751912}
{-44, 6.592170329663498}
{-131/3, 6.541726600946746}
{-130/3, 6.491403318217709}
{-43, 6.441200290991328}
{-128/3, 6.39111734223769}
{-127/3, 6.341154308960578}
{-42, 6.291311042800038}
{-125/3, 6.2415874106594025}
{-124/3, 6.191983295358775}
{-41, 6.14249859631545}
{-122/3, 6.093133230253183}
{-121/3, 6.043887131941362}
{-40, 5.994760254965868}
{-119/3, 5.945752572532784}
{-118/3, 5.896864078307058}
{-39, 5.848094787287553}
{-116/3, 5.799444736720395}
{-115/3, 5.750913987052846}
{-38, 5.702502622929163}
{-113/3, 5.654210754231387}
{-112/3, 5.606038517166639}
{-37, 5.5579860754040835}
{-110/3, 5.510053621263432}
{-109/3, 5.462241376958335}
{-36, 5.4145495958971255}
{-107/3, 5.366978564044366}
{-106/3, 5.319528601346038}
{-35, 5.27220006322222}
{-104/3, 5.224993342130697}
{-103/3, 5.177908869205292}
{-34, 5.130947115973422}
{-101/3, 5.084108596156701}
{-100/3, 5.037393867559686}
{-33, 4.990803534051323}
{-98/3, 4.9443382476446}
{-97/3, 4.897998710679724}
{-32, 4.851785678116697}
{-95/3, 4.805699959943657}
{-94/3, 4.759742423707485}
{-31, 4.7139139971736395}
{-92/3, 4.668215671122924}
{-91/3, 4.622648502292704}
{-30, 4.577213616471406}
{-89/3, 4.531912211754875}
{-88/3, 4.486745561974198}
{-29, 4.44171502030521}
{-86/3, 4.396822023069903}
{-85/3, 4.352068093741704}
{-28, 4.307454847165938}
{-83/3, 4.262983994008901}
{-82/3, 4.218657345448437}
{-27, 4.174476818120955}
{-80/3, 4.13044443933941}
{-79/3, 4.0865623525988255}
{-26, 4.042832823386226}
{-77/3, 3.999258245312667}
{-76/3, 3.955841146586574}
{-25, 3.9125841968483854}
{-74/3, 3.8694902143872887}
{-73/3, 3.8265621737625457}
{-24, 3.783803213852096}
{-71/3, 3.7412166463532364}
{-70/3, 3.6988059647604197}
{-23, 3.6565748538465446}
{-68/3, 3.6145271996753423}
{-67/3, 3.5726671001727706}
{-22, 3.5309988762865694}
{-65/3, 3.4895270837635555}
{-64/3, 3.4482565255745814}
{-21, 3.4071922650168074}
{-62/3, 3.366339639523483}
{-61/3, 3.3257042752093358}
{-20, 3.2852921021794987}
{-59/3, 3.245109370626479}
{-58/3, 3.2051626677375684}
{-19, 3.1654589354298213}
{-56/3, 3.1260054889242745}
{-55/3, 3.086810036163219}
{-18, 3.0478806980643047}
{-53/3, 3.0092260295925946}
{-52/3, 2.970855041615354}
{-17, 2.932777223484098}
{-50/3, 2.8950025662628294}
{-49/3, 2.857541586489481}
{-16, 2.8204053503184596}
{-47/3, 2.7836054978429376}
{-46/3, 2.747154267334424}
{-15, 2.7110645190637674}
{-44/3, 2.6753497582733643}
{-43/3, 2.640024156757814}
{-14, 2.6051025723687924}
{-41/3, 2.57060056558539}
{-40/3, 2.5365344120776174}
{-13, 2.5029211099224256}
{-38/3, 2.4697783798037842}
{-37/3, 2.437124656115912}
{-12, 2.404979066379104}
{-35/3, 2.3733613957379402}
{-34/3, 2.342292032511593}
{-11, 2.311791889755361}
{-32/3, 2.2818822965189782}
{-31/3, 2.252584850863345}
{-10, 2.2239212246235076}
{-29/3, 2.195912907235774}
{-28/3, 2.16858087248611}
{-9, 2.14194514751558}
{-26/3, 2.116024257462753}
{-25/3, 2.090834511197829}
{-8, 2.0663890829640716}
{-23/3, 2.0426968302859607}
{-22/3, 2.0197607686481076}
{-7, 1.9975760958334154}
{-20/3, 1.9761276198894189}
{-19/3, 1.955386389094048}
{-6, 1.9353052416876773}
{-17/3, 1.9158128744974017}
{-16/3, 1.8968058521210018}
{-5, 1.8781377084011006}
{-14/3, 1.8596038740308913}
{-13/3, 1.8409205051683963}
{-4, 1.821694228770777}
{-11/3, 1.8013780838546014}
{-10/3, 1.7792060324040653}
{-3, 1.7540934503479289}
{-8/3, 1.7244823479346052}
{-7/3, 1.6880946012418834}
{-2, 1.6415280100164351}
{-5/3, 1.5795747502103776}
{-4/3, 1.4940212825486074}
{-1, 1.3713537847575656}
{-2/3, 1.187441085067966}
{-1/3, 0.8885312744664271}
{0, 1.6800492787599263*^-7}
{1/3, 0.8986320059936518}
{2/3, 1.2258602692278457}
{1, 1.4518709909280634}
{4/3, 1.6256579867078211}
{5/3, 1.7675545986523546}
{2, 1.8885142954570882}
{7/3, 1.995189644230551}
{8/3, 2.0918950972826273}
{3, 2.1815454084735375}
{10/3, 2.2661661029408466}
{11/3, 2.3471945747151928}
{4, 2.42566746066155}
{13/3, 2.5023417828948795}
{14/3, 2.577775607701391}
{5, 2.652383060165369}
{16/3, 2.726472630284224}
{17/3, 2.800274333327207}
{6, 2.873959281105087}
{19/3, 2.9476539901183534}
{20/3, 3.021450978228121}
{7, 3.095416703687694}
{22/3, 3.169597574195062}
{23/3, 3.2440245361682982}
{8, 3.318716607139314}
{25/3, 3.393683612871715}
{26/3, 3.4689283201681786}
{9, 3.5444481064129087}
{28/3, 3.6202362711598766}
{29/3, 3.696283069194533}
{10, 3.7725765255334642}
{31/3, 3.849103078779545}
{32/3, 3.9258480887481553}
{11, 4.002796236344651}
{34/3, 4.079931837631432}
{35/3, 4.157239089381852}
{12, 4.234702259827396}
{37/3, 4.31230583550733}
{38/3, 4.390034632937581}
